symbol	Protein Length	Kinome	DING	Ontogen	Foundation	RAS_Pathway
RTP2	225					
TMEM225	225					
BHLHE23	225					
GRPEL2	225					
FGF11	225					
ARHGDIG	225					
GGTLC1	225					
HES7	225					
PRTFDC1	225					
THYN1	225					
CLCF1	225					
RAB21	225					
PRG3	225					
MOB4	225					
INSIG2	225					
RS1	224					
SYNGR2	224					
CRP	224					
MYOG	224					
ZNF22	224					
HOXB6	224					
PRDX6	224					
TPD52	224					
CLDN17	224					
FKBP3	224					
CD300C	224					
ATP6AP1L	224					
CHIC1	224					
FAM180B	224					
FAHD1	224					
C16orf54	224					
CBLN2	224					
EIF4E3	224					
CLDN19	224					
FNDC9	224					
WFDC5	224					
FAM3D	224					
HES6	224					
CCDC43	224					
TIMP4	224					
TMEM147	224					
COMMD5	224					
CHMP4B	224					
SPC25	224					
ZC4H2	224					
DKK4	224					
EPDR1	224					
APOBEC2	224					
TMED7	224					
TMEM235	223					
TMEM114	223					
MKRN2OS	223					
PSMD9	223					
PGRMC2	223					
POLR3G	223					
APCS	223					
UCHL1	223					
CFC1B	223					
CFC1	223					
CTLA4	223					
AK4	223					
C10orf62	223					
GJB7	223					
C8orf86	223					
STYX	223					
LRRC29	223					
RAB37	223					
ELSPBP1	223					
CCDC124	223					
CMTM5	223					
SIGMAR1	223					
GINS4	223					
IER2	223					
NTMT1	223					
FGFBP2	223					
TWSG1	223					
BTG4	223					
DNAJB9	223					
MIF4GD	222					
VWC2L	222					
CYB561D2	222					
GSTA4	222					
CHMP2A	222					
NUDT14	222					
SOD2	222					
GSTA1	222					
GSTA2	222					
PRG2	222					
HOXC5	222					
CACNG1	222					
CSHL1	222					
UBE2S	222					
GSTA3	222					
RAB41	222					
ZC2HC1B	222					
GSTA5	222					
GADD45GIP1	222					
THAP6	222					
TTC9	222					
TMEM54	222					
PLEKHB2	222					
LXN	222					
CHAC1	222					
CHMP4A	222					
CXorf56	222					
CHMP3	222					
FKBP7	222					
TSPAN2	221					
GPX5	221					
HIST1H1D	221					
PGF	221					
RAB28	221					
RAB27A	221					
TIRAP	221					
GPX6	221					
KRTAP10-3	221					
PRR20E	221					
SRSF2	221		SRSF2			
MXD1	221					
SRSF9	221					
TCTEX1D4	221					
CCDC144NL	221					
IZUMO2	221					
DLEU7	221					
C11orf74	221					
PRR26	221					
RP9	221					
KCNE4	221					
SLC50A1	221					
ALKBH7	221					
NDFIP1	221					
HES4	221					
SDF2L1	221					
VPS28	221					
PRSS51	220					
RNF222	220					
CLDN24	220					
CLDN3	220					
SAP30	220					
CREG1	220					
POP4	220					
CD28	220					
TIMP2	220					
RAB3A	220					
VAMP7	220					
CLDN6	220					
STARD6	220					
DGCR6	220					
C18orf21	220					
ARTN	220					
DUPD1	220					
DNM1P46	220					
LHFPL1	220					
TP53INP2	220					
CLDN22	220					
U2AF1L4	220					
DGCR6L	220					
ATG10	220					
WFDC1	220					
CABP2	220					
TMEM247	219					
BNIP3L	219					
CIDEA	219					
TPPP	219					
RAB3D	219					
HIST1H1E	219		HIST1H1E			
CD53	219					
RAB3B	219					
PSMB9	219					
IL12A	219					
TMED10	219					
CLDN20	219					
PIGF	219					
PRR27	219					
FIGLA	219					
TMEM179B	219					
RPAIN	219					
LHFPL5	219					
RIT1	219		RIT1			
TMEM125	219					
CALN1	219					
MAGEH1	219					
C21orf62	219					
CHMP5	219					
CIDEB	219					
NUDT5	219					
CLEC4E	219					
PRELID1	219					
TRAPPC4	219					
RAB27B	218					
CLDN5	218					
PRRG1	218					
HPRT1	218					
GSTM1	218					
RRAS	218					
RAB4A	218					
GSTM2	218					
GSTM5	218					
MRPS34	218					
GSTM4	218					
SCN1B	218					
TAF10	218					
GGTLC2	218					
RAB11B	218					
CTSL3P	218					
SYCE2	218					
RAB42	218					
METTL21A	218					
ATG101	218					
POLR3GL	218					
ZBED2	218					
IL37	218					
EIF3K	218					
RAB19	217					
CLDN9	217					
GH1	217					
GH2	217					
EIF4E	217					
HOXB7	217					
TMEM253	217					
GIMD1	217					
CSH1	217					
CSH2	217					
GCA	217					
RGS19	217					
HAND2	217					
RPL10A	217					
GRAP	217					
RAB39A	217					
KHDC3L	217					
C3orf52	217					
CRIP3	217					
C16orf82	217					
ZCRB1	217					
DUSP19	217					
BCL7C	217					
C11orf40	217					
VTI1A	217					
MOB3A	217					
RIT2	217					
COQ7	217					
C22orf23	217					
GRPEL1	217					
BLOC1S4	217					
GAR1	217					
CALY	217					
PSMC3IP	217					
TMED3	217					
GSTZ1	216					
FGF17	216					
FGF19	216				FGF19	
PPIB	216					
KLRK1	216					
RAB5C	216					
RAB11A	216					
RAN	216					
RNASE10	216					
C8orf82	216					
MOB3C	216					
MOB1B	216					
MOB3B	216					
TMEM139	216					
LINC01006	216					
RAB2B	216					
MRPL24	216					
ALG14	216					
TMEM80	216					
GINS3	216					
MOB1A	216					
SEBOX	216					
DCAF16	216					
ZNF365	216					
TLDC2	215					
ALG1L2	215					
MPZL2	215					
SCN2B	215					
SEC22B	215					
HAND1	215					
CRYBA1	215					
HMGB1	215					
RAB5A	215					
RPL14	215					
RAB5B	215					
RAB14	215					
CSNK2B	215					
HIST1H1A	215					
SFT2D3	215					
CABP7	215					
LYSMD2	215					
SPACA3	215					
MRPL43	215					
C19orf18	215					
TCP10L	215					
EDARADD	215					
CLEC4D	215					
TCEAL4	215					
NACA2	215					
SCN3B	215					
CCDC169	214					
IGLL5	214					
OVOL3	214					
KDELR3	214					
CLEC2L	214					
RPL10	214					
PRDX5	214					
SMCO1	214					
TCF23	214					
NPM2	214					
PTRH1	214					
MREG	214					
OSTF1	214					
TESC	214					
MS4A3	214					
FAM167A	214					
RPL10L	214					
TM2D2	214					
RHOJ	214					
PIH1D3	214					
PCTP	214					
NEUROG3	214					
N6AMT1	214					
TVP23A	213					
EBAG9	213					
CDIPT	213					
EFNA2	213					
NDUFS7	213					
ZFAND5	213					
IGLL1	213					
HIST1H1C	213		HIST1H1C			
VHL	213		VHL	VHL	VHL	
RAB25	213					
RAB4B	213					
FAM177A1	213					
CLEC4C	213					
H1FX	213					
GTF3C6	213					
TMEM186	213					
RAB39B	213					
SOST	213					
NICN1	213					
STARD5	213					
THAP1	213					
NOL12	213					
MOSPD1	213					
CHMP2B	213					
INSL6	213					
GOSR2	212					
IL6	212					
EDN1	212					
SCG5	212					
DTYMK	212					
KDELR1	212					
KDELR2	212					
PPIC	212					
NME5	212					
RAB15	212					
RAB2A	212					
CDKN3	212					
TUSC1	212					
LYG2	212					
RAB43	212					
FNDC5	212					
NXNL1	212					
MRPL48	212					
SENP8	212					
PDCD10	212					
CINP	212					
ROPN1B	212					
RAB17	212					
MED20	212					
ROPN1	212					
PLAC1	212					
BOK	212					
PXMP4	212					
HMGB1P1	211					
SNAP23	211					
SOCS1	211				SOCS1	
CLDN7	211					
BAG2	211					
CLDN1	211					
PDGFA	211					
RPL13	211					
CRYBB3	211					
TIMP3	211					
GDNF	211					
RGS2	211					
RAB38	211					
ZNF252P-AS1	211					
SPP2	211					
TAF11	211					
BAK1	211					
CACTIN-AS1	211					
FIBIN	211					
BCAS4	211					
RILPL2	211					
REEP6	211					
SDF2	211					
NABP2	211					
NUDT16L1	211					
DUSP26	211					
PITHD1	211					
EFCAB1	211					
RHOF	211					
FGF20	211					
FKBP14	211					
MAD2L2	211					
RHOD	210					
NDUFS8	210					
CDC42EP2	210					
EMC8	210					
CTAG2	210					
GSTP1	210					
CD8B	210					
POLR2E	210					
TNNI3	210					
NTF4	210					
SARNP	210					
TSPAN31	210					
FXN	210					
TBC1D28	210					
CCDC153	210					
BCL7A	210					
KRTAP26-1	210					
KCNMB4	210					
TMEM61	210					
DYNAP	210					
STXBP6	210					
ABHD14B	210					
KRTAP4-9	210					
KRTAP4-7	210					
ACTR3C	210					
AKIP1	210					
COPZ2	210					
RGS17	210					
C19orf71	209					
CLDN4	209					
TIMM23	209					
GMNN	209					
GUCA1C	209					
C2orf27B	209					
HMGB2	209					
RGS1	209					
MXD4	209					
TRIM61	209					
CLEC6A	209					
AMTN	209					
RBPMS2	209					
TMEM52	209					
DTD1	209					
GPX8	209					
TM4SF19	209					
COPS8	209					
LIN28A	209					
METTL5	209					
FGF21	209					
PGPEP1	209					
GLTP	209					
MBD3L3	208					
MBD3L5	208					
FGF10	208				FGF10	
NOL3	208					
FGF6	208				FGF6	
MYL6B	208					
RAB6A	208					
FGF9	208					
CRIP2	208					
RPS8	208					
FADD	208					
SPDYE7P	208					
NKAIN2	208					
ZFAND6	208					
IFNE	208					
CCDC25	208					
NKAIN4	208					
TRIM48	208					
TMEM123	208					
TMEM199	208					
MBD3L2	208					
THEM6	208					
CAPSL	208					
ZG16B	208					
IFT43	208					
TCEANC2	208					
HBEGF	208					
MED18	208					
TMEM222	208					
CDIP1	208					
RAB6B	208					
EMC9	208					
KLRF2	207					
FGF16	207					
CLDN11	207					
FGF18	207					
TIMP1	207					
CD3E	207					
CSF3	207					
MGMT	207		MGMT	MGMT		
HIST1H1T	207					
NFYB	207					
PPIF	207					
VEGFB	207					
RAB7A	207					
ZNF137P	207					
RAB8A	207					
AANAT	207					
ACOT6	207					
KRTAP27-1	207					
NKAIN1	207					
PLET1	207					
SPRYD4	207					
RAB8B	207					
UBE2E3	207					
C8orf37	207					
SIKE1	207					
NAT9	207					
TM2D1	207					
LIN7B	207					
IFNK	207					
TPD52L2	206					
MSC	206					
FGF4	206				FGF4	
GP1BB	206					
BTF3	206					
BLVRB	206					
SNAP25	206					
IL24	206					
PTPRCAP	206					
MPV17L2	206					
TCEAL5	206					
TEX38	206					
SOSTDC1	206					
FAM228A	206					
C7orf61	206					
NAT14	206					
C5orf30	206					
AMELY	206					
MXD3	206					
EBPL	206					
VCX	206					
RAB18	206					
MRPL40	206					
MRPL22	206					
GJE1	205					
GSC2	205					
LTA	205					
HSPB1	205					
STAG3L1	205					
RHOQ	205					
EFNA1	205					
PPP1R2	205					
CRYBB2	205					
PSMB3	205					
RGS4	205					
GFER	205					
RNASE9	205					
RAB1A	205					
CD83	205					
MAD2L1	205					
DRAP1	205					
ECSCR	205					
CD300E	205					
LINC00242	205					
LDLRAD1	205					
PMF1	205					
CBLN3	205					
MRPL21	205					
SPATA24	205					
IQCF1	205					
ISOC2	205					
STARD4	205					
MRAP2	205					
WDYHV1	205					
PPP1R2P1	205					
ATP6V0B	205					
MND1	205					
MRPS26	205					
KRTAP4-6	205					
MIS12	205					
RERGL	205					
C12orf49	205					
TVP23B	205					
HEBP2	205					
PINLYP	204					
DUXA	204					
C3orf84	204					
TSPAN13	204					
RPS5	204					
ARHGDIA	204					
RPL15	204					
RRAS2	204		RRAS2			
MXRA7	204					
SRY	204					
TPD52L1	204					
THOC7	204					
HDDC2	204					
NABP1	204					
PPCDC	204					
VSTM2L	204					
NRSN2	204					
BCL2L10	204					
MRGBP	204					
ARL15	204					
PPP1R1B	204					
B9D1	204					
ASF1A	204					
POLR3H	204					
RAB29	203					
GPX1	203					
C2orf27A	203					
RPL13A	203					
MTHFS	203					
RAB13	203					
ARL6IP1	203					
RAB30	203					
ZNF876P	203					
AKIRIN2	203					
RNF152	203					
C9orf163	203					
RASL10A	203					
RAB24	203					
TMA16	203					
RASL10B	203					
DPCD	203					
SERHL	203					
C1orf109	203					
TMEM223	202					
C4orf51	202					
PRRG2	202					
RGS16	202					
PTTG1	202					
CLEC3B	202					
C8G	202					
LIF	202					
TM4SF1	202					
TM4SF4	202					
JOSD1	202					
TWIST1	202					
CCDC85B	202					
C6orf99	202					
KRTAP5-10	202					
BLOC1S3	202					
C9orf47	202					
VMO1	202					
IL17D	202					
BCL7B	202					
SAMD10	202					
ASF1B	202					
PTTG2	202					
COMMD10	202					
C2orf70	201					
CD300LB	201					
NCR3	201					
RBP4	201					
ORM1	201					
ORM2	201					
SDC2	201					
GUCA1A	201					
RANBP1	201					
ARL4D	201					
PSMB2	201					
RAB9A	201					
ARHGDIB	201					
EFNA4	201					
MRPS10	201					
TAGLN	201					
DPT	201					
ARFRP1	201				ARFRP1	
RAB35	201					
TMED2	201					
CTF1	201					
SAMD12	201					
LY6G5B	201					
NT5C	201					
PTPMT1	201					
TM4SF18	201					
CHMP6	201					
UBE2E2	201					
KRTAP4-12	201					
RAB1B	201					
REEP1	201					
RAB9B	201					
CBLN4	201					
FKBP11	201					
SNX10	201					
VSTM5	200					
INS-IGF2	200					
ITGB1BP1	200					
HMGB3	200					
ATXN8OS	200					
CNTF	200					
RCVRN	200					
ARL4A	200					
RAB10	200					
UBE2K	200					
MED22	200					
CDO1	200					
PABPC1L2B	200					
PABPC1L2A	200					
TMEM211	200					
TCEAL6	200					
APOBEC3H	200					
TREML4	200					
COMMD7	200					
IFNL1	200					
IFNL2	200					
TCEAL3	200					
WWC2-AS2	200					
CCDC28B	200					
MS4A5	200					
AP5S1	200					
MED29	200					
GUCA1B	200					
HPGDS	199					
IL11	199					
APOBEC3A	199					
TAGLN2	199					
CRADD	199					
PRDX1	199					
CD69	199					
TCF15	199					
C1orf185	199					
CHMP1B	199					
COMMD2	199					
C4orf33	199					
RNASE11	199					
SAP25	199					
RERG	199					
DIRAS2	199					
ZMAT2	199					
RPP25	199					
C1orf50	199					
COMMD4	199					
MAP6D1	199					
GKN1	199					
AURKAIP1	199					
NMRK1	199					
PEMT	199					
DNAJC5B	199					
TAGLN3	199					
TNFSF18	199					
ICOS	199					
C19orf81	198					
SOCS2	198					
YKT6	198					
BCL2L11	198		BCL2L11			
DENR	198					
DIRAS1	198					
DUSP14	198					
TNFAIP8	198					
RD3L	198					
SRI	198					
SDC4	198				SDC4	
PRDX2	198					
CDKN1B	198		CDKN1B	CDKN1B	CDKN1B	
MRPL12	198					
LCN2	198					
FAM219B	198					
LBX2	198					
LINC00336	198					
TMEM17	198					
TCTE3	198					
ZFP41	198					
APOO	198					
AICDA	198					
CXXC4	198					
DNAJC5	198					
ARMC7	198					
TMEM9B	198					
SAR1A	198					
COMMD9	198					
DNAJC12	198					
FCF1	198					
SAR1B	198					
RAB34	198					
EFCAB9	197					
TM4SF5	197					
CLEC3A	197					
SFTPC	197					
MYL4	197					
NUDT1	197					
GPX4	197					
CRYBA2	197					
VBP1	197					
CD164	197					
ARL16	197					
RCAN2	197					
GUK1	197					
CARD16	197					
C11orf87	197					
AKAP14	197					
ZNF525	197					
SIGLECL1	197					
NKAIN3	197					
SPC24	197					
SHISA4	197					
NRTN	197					
SIRPD	197					
UBE2T	197					
LIN7C	197					
IL17C	197					
ZNF581	197					
HSPB8	196	HSPB8				
PGPEP1L	196					
RER1	196					
CHP2	196					
PGLYRP1	196					
CRH	196					
CMPK1	196					
CRYBA4	196					
RPL19	196					
GINS1	196					
MPV17L	196					
C9orf129	196					
SPRYD7	196					
TEX261	196					
IFNL3	196					
RBPMS	196					
ARL11	196					
CALML4	196					
NPVF	196					
CHMP1A	196					
MRPS18A	196					
SERTAD3	196					
SIT1	196					
FAM168B	195					
ZNF503-AS2	195					
PGRMC1	195					
IFNW1	195					
IGF1	195					
MYL3	195					
CYBA	195					
MARCKSL1	195					
BID	195					
EGFEM1P	195					
LSM12	195					
FAM122C	195					
RD3	195					
NRSN1	195					
GVQW1	195					
CA5BP1	195					
TMEM239	195					
NUDT16	195					
KLRG1	195					
SPACA7	195					
CHP1	195					
PLA2G12B	195					
KRTAP4-11	195					
KRTAP4-3	195					
TMEM126A	195					
TMEM134	195					
PXMP2	195					
COMMD3	195					
PYCARD	195					
EXOSC1	195					
TMEM212	194					
C2orf74	194					
IL18BP	194					
AK1	194					
MYL1	194					
H1F0	194					
FGF7	194					
RPS9	194					
CSRP3	194					
RPS7	194					
MRPS11	194					
RAB31	194					
CCDC184	194					
CD300LD	194					
C9orf40	194					
C1orf158	194					
LYG1	194					
C20orf203	194					
MBD3L1	194					
C7orf50	194					
DESI2	194					
ITPA	194					
SSU72	194					
RAB22A	194					
TIMM22	194					
MSGN1	193					
EPO	193					
GM2A	193					
CSRP1	193					
CBLN1	193					
CD70	193		CD70		CD70	
HPCAL1	193					
UBE2E1	193					
AP3S2	193					
NCALD	193					
HPCA	193					
C2orf80	193					
IL18	193					
CSRP2	193					
C11orf91	193					
ANXA2R	193					
ASB16-AS1	193					
PMS2CL	193					
ZNF740	193					
AP3S1	193					
BCL2L2	193				BCL2L2	
BCL2L2-PABPN1	193					
DDIT4L	193					
PERP	193					
SNX22	193					
ASCL2	193					
CITED1	193					
IGSF23	192					
TMEM11	192					
RPL9	192					
ARL4C	192					
BAX	192					
PMVK	192					
DMRTC1	192					
DMRTC1B	192					
LCN12	192					
INO80C	192					
MSRB3	192					
ARL14	192					
FAM169B	192					
SPATA3	192					
ZCCHC10	192					
RNF183	192					
RNF185	192					
FAM210B	192					
SEC11C	192					
AKIRIN1	192					
NKIRAS1	192					
MRPL11	192					
DPRX	191					
PDCD6	191					
CBX5	191					
CDC42	191					
VSNL1	191					
RHOG	191					
RHOH	191					
KCNMB1	191					
ANKRD22	191					
C6orf120	191					
ADAT2	191					
PIFO	191					
TSR2	191					
AMELX	191					
CIB1	191					
ZNF747	191					
MEAF6	191					
NKIRAS2	191					
CLEC2D	191					
HPCAL4	191					
DCTN6	190					
SLC31A1	190					
GPX2	190					
PTGDS	190					
RIPPLY3	190					
NCS1	190					
RNF4	190					
C12orf74	190					
DNAL1	190					
C17orf107	190					
C9orf139	190					
SPATA12	190					
METTL23	190					
COMMD1	190					
FAM174A	190					
CYGB	190					
TMEM37	190					
LZIC	190					
RBM18	190					
NTPCR	190					
SLC7A5P2	190					
DUSP21	190					
APOBEC3C	190					
MRPS23	190					
TTC36	189					
TP53I11	189					
NDUFB5	189					
OAZ2	189					
IFNA1	189					
IFNA13	189					
IFNA10	189					
IFNA7	189					
IFNA21	189					
IFNA5	189					
IFNA14	189					
IFNA17	189					
TRGC2	189					
IFNA6	189					
IFNA4	189					
IFNA16	189					
APOD	189					
CT45A6	189					
CT45A5	189					
IFNA8	189					
REEP5	189					
CT45A1	189					
TMEM205	189					
BHLHA15	189					
FAM89B	189					
DNAJC5G	189					
DAND5	189					
PRELID2	189					
MZB1	189					
PARK7	189					
FUNDC2	189					
PLA2G12A	189					
STMN4	189					
IL23A	189					
HEBP1	189					
SSX4	188					
SSX4B	188					
SSX5	188					
GGCT	188					
ARL6IP5	188					
APOM	188					
IFNA2	188					
TDGF1	188					
TDGF1P3	188					
PRR3	188					
RPL18	188					
PIGH	188					
SSX1	188					
RWDD4	188					
SSX7	188					
NANOGNB	188					
C5orf24	188					
TRAPPC5	188					
FBXO36	188					
DUSP18	188					
JOSD2	188					
ZNF428	188					
CDRT15	188					
SSX3	188					
PRADC1	188					
MRPL32	188					
TMEM160	188					
CLEC5A	188					
MRPL35	188					
DUSP13	188					
MOCS2	188					
CGB1	187					
CENPBD1	187					
NME4	187					
KRTAP5-8	187					
CIB2	187					
IFNB1	187					
TNNI1	187					
CDNF	187					
IDNK	187					
ALG1L	187					
LCN10	187					
POMZP3	187					
ARL9	187					
ZNF833P	187					
MCEMP1	187					
BLOC1S5	187					
CIB3	187					
GPX7	187					
MRPS28	187					
EID1	187					
LINC00473	186					
C19orf84	186					
NME6	186					
RBBP9	186					
DCTN3	186					
NDUFB8	186					
TBPL1	186					
HES3	186					
TEX36	186					
TRAT1	186					
FAM9B	186					
TNFAIP8L1	186					
HMGB4	186					
FAM104A	186					
ARL8A	186					
C4orf45	186					
IFT27	186					
ARL6	186					
RANGRF	186					
VCX3A	186					
ARL8B	186					
CIB4	185					
RLN2	185					
RLN1	185					
CD99	185					
ADM	185					
NSG1	185					
CSN1S1	185					
CBX1	185					
MEA1	185					
TDRP	185					
TGIF2LY	185					
FAM219A	185					
C12orf45	185					
UBE2F	185					
BOD1	185					
KRTAP4-8	185					
TMEM140	185					
HESX1	185					
RABAC1	185					
ANAPC10	185					
SSR3	185					
GINS2	185					
UPK2	184					
GREM1	184					
FDX1	184					
RPL17	184					
ARL2	184					
RAP1B	184					
RAP1A	184					
TNFRSF17	184					
GLO1	184					
TNFAIP8L2	184					
LCN15	184					
GKN2	184					
GPIHBP1	184					
RHOXF1	184					
LRRC20	184					
CHAC2	184					
TIFA	184					
GNPNAT1	184					
FAM89A	184					
RAX2	184					
BMF	184					
TNFRSF13C	184					
CITED4	184					
NDUFAF3	184					
NUP62CL	184					
PRKRIP1	184					
ESM1	184					
COPRS	184					
DUSP22	184					
IMP3	184					
CXorf65	183					
C11orf58	183					
C1orf105	183					
FTH1	183					
RAP2A	183					
TNFSF4	183					
SSR2	183					
MFAP2	183					
UBE2M	183					
RAP2B	183					
UBE2H	183					
CBX3	183					
MOBP	183					
TMEM52B	183					
ANKRD39	183					
EMC4	183					
TMEM154	183					
JAGN1	183					
C15orf54	183					
LYPD6B	183					
RHEBL1	183					
FATE1	183					
FTHL17	183					
DEFB129	183					
SAP30L	183					
MID1IP1	183					
SAYSD1	183					
COMMD8	183					
CMTM6	183					
TMEM9	183					
RAP2C	183					
C16orf90	182					
CSN3	182					
CD3G	182					
ARL3	182					
TNNI2	182					
MANF	182					
CBFB	182		CBFB	CBFB	CBFB	
HSPB2	182					
TMCO2	182					
C1orf52	182					
LINC00612	182					
CRYGN	182					
CMTM3	182					
NAP1L5	182					
DCTN5	182					
HINT3	182					
VPS29	182					
CNPY2	182					
PLLP	182					
MSRB2	182					
IRGM	181					
RGS5	181					
RGS10	181					
CD160	181					
ATF3	181					
ARL1	181					
NBL1	181					
ARF3	181					
ARF1	181					
PDAP1	181					
TRAPPC3L	181					
LEMD1	181					
CALML6	181					
ISG20	181					
TMEM47	181					
KRTAP4-5	181					
MCTS1	181					
KIF25-AS1	181					
TRAPPC3	180					
GCG	180					
IGF2	180					
APRT	180					
PAEP	180					
ARF4	180					
PTTG1IP	180					
XG	180					
RGS8	180					
SPCS3	180					
ARF5	180					
BST2	180					
SPANXN2	180					
C1orf146	180					
YAF2	180					
SLC7A5P1	180					
BAALC	180					
TEX37	180					
CCDC115	180					
RNF5	180					
MRPL18	180					
ASCL3	180					
CENPM	180					
STMN3	180					
NUDT4	180					
IL17B	180					
NIP7	180					
BLACE	179					
ARL5C	179					
CPSF4L	179					
UBE2C	179					
TCF21	179					
CUTA	179					
SCAND1	179					
SEC11A	179					
KLRD1	179					
NFE4	179					
BPIFA4P	179					
HDDC3	179					
TCTEX1D1	179					
MPLKIP	179					
STMN2	179					
ARL5B	179					
C9orf85	179					
ADI1	179					
IL22	179					
OPA3	179					
FAIM	179					
PTRH2	179					
ARL5A	179					
NDUFB9	179					
TRBC2	178					
LNP1	178					
KLLN	178					
ARPC3	178					
PRAF2	178					
NPM3	178					
EDN2	178					
IL10	178					
CRYGS	178					
DCTD	178					
BTC	178					
NAA20	178					
RPL11	178					
CAV1	178					
C15orf32	178					
TMEM196	178					
DNLZ	178					
GCSAM	178					
PCNP	178					
FXYD5	178					
MED30	178					
MRPL13	178					
MED28	178					
NOP16	178					
PLAC8L1	177					
PPIH	177					
PTHLH	177					
IL7	177					
GP9	177					
IL1RN	177					
COPZ1	177					
CNBP	177					
KRTAP1-1	177					
ITGB3BP	177					
ZNF826P	177					
KRTAP5-2	177					
KRTAP1-3	177					
ARL17A	177					
ARL17B	177					
UBALD1	177					
C7orf33	177					
DYDC1	177					
TMEM190	177					
DYDC2	177					
FANCD2OS	177					
IL25	177					
IL19	177					
TMEM238	176					
ADCYAP1	176					
LCN1	176					
MPV17	176					
DR1	176					
RPL18A	176					
PNOC	176					
TMEM95	176					
DUSP28	176					
C5orf47	176					
TMEM97	176					
MDP1	176					
VKORC1L1	176					
LCN9	176					
MAL2	176					
MCEE	176					
KXD1	176					
VPS25	176					
TPPP3	176					
IL20	176					
PRND	176					
C15orf62	175					
SIVA1	175					
NDUFS4	175					
RAMP2	175					
AGR2	175					
CRYAB	175					
FTL	175					
CRYGB	175					
DLX6	175					
ARF6	175					
MYL7	175					
REG3A	175					
BCL2A1	175					
KRTAP13-2	175					
LCN8	175					
REG3G	175					
FOXL2NB	175					
H2BFWT	175					
SH2D6	175					
CMTM7	175					
IMMP2L	175					
B9D2	175					
MRPL17	175					
NDUFAF4	175					
TPRKB	175					
EEF1E1	174					
DNPH1	174					
MT-ND6	174					
CRYGC	174					
CRYGD	174					
CRYGA	174					
NMU	174					
CLEC2A	174					
CD164L2	174					
LINC00269	174					
UBL4B	174					
C17orf50	174					
FOPNL	174					
KRTAP9-2	174					
KRTAP1-5	174					
C20orf27	174					
RBM8A	174					
URAD	173					
PTP4A3	173					
CRYAA	173					
TRGC1	173					
GCSH	173					
SSR4	173					
LIM2	173					
NANOS3	173					
MRPS25	173					
MYL5	173					
MFAP5	173					
TMEM240	173					
SAMD5	173					
FAM180A	173					
CMTM8	173					
PTP4A1	173					
MARVELD1	173					
TMEM208	173					
CABP5	173					
HES2	173					
SMIM23	172					
MYL12B	172					
TIMM17B	172					
TXNDC12	172					
NUDT3	172					
NDUFB10	172					
TPT1	172					
MYL9	172					
CETN2	172					
NDUFA8	172					
POLR2G	172					
CETN1	172					
CIRBP	172					
KRTAP13-3	172					
LGALSL	172					
ASCL4	172					
TMEM91	172					
HMGN2P46	172					
KRTAP13-1	172					
C17orf49	172					
BOD1L2	172					
C10orf126	172					
MRAP	172					
VOPP1	172					
CACFD1	172					
ZNF580	172					
BLOC1S6	172					
NENF	172					
SNX12	172					
PPP5D1	171					
CD3D	171					
MYL12A	171					
SAT1	171					
CHMP4BP1	171					
BTG1	171				BTG1	
PPP1R1A	171					
KRBOX4	171					
FAM209B	171					
FAM209A	171					
LYPD6	171					
TTC9C	171					
TSEN15	171					
COX4I2	171					
TIMM17A	171					
IL26	171					
NSG2	171					
VIP	170					
NTS	170					
CAMP	170					
TPPP2	170					
UBE2G1	170					
PPP3R1	170					
TSPO2	170					
C3orf35	170					
TMEM252	170					
SAT2	170					
PPP3R2	170					
ZNF576	170					
DCTPP1	170					
FGF22	170					
OBP2B	170					
OBP2A	170					
HSPB7	170					
ZMAT5	170					
C7orf71	169					
PRORSD1P	169					
KRTAP9-7	169					
EREG	169					
COX4I1	169					
KRTAP5-9	169					
NME3	169					
VMAC	169					
FAM106A	169					
C1orf194	169					
C11orf88	169					
CMTM1	169					
NDUFAF2	169					
MYLPF	169					
SDHC	169				SDHC	
NAA50	169					
IL36G	169					
SPRR3	169			SPRR3		
SNX24	169					
LEUTX	168					
PTN	168					
CDKN2C	168		CDKN2C		CDKN2C	
ARPC4	168					
PMS2P3	168					
DAZAP2	168					
TMEM31	168					
DESI1	168					
IGF2-AS	168					
BAD	168					
DTD2	168					
PLA2G2F	168					
GREM2	168					
C17orf102	167					
CETN3	167					
TCAP	167					
ZG16	167					
LEP	167					
EMP2	167					
YBEY	167					
PTP4A2	167					
GOLGA7B	167					
TCF24	167					
SPATA19	167					
ZBTB8OS	167					
CLECL1	167					
TMEM229B	167					
CLDND2	167					
GTSF1	167					
GEMIN6	167					
MRPS24	167					
FAM163A	167					
ISCU	167					
CGGBP1	167					
UFC1	167					
PTGES3L	166					
IFNG	166					
PRH2	166					
PRH1	166					
REG1A	166					
FAM163B	166					
MYL2	166					
CFL1	166					
REG1B	166					
CDKN2D	166					
MRPL49	166					
C2orf68	166					
HES5	166					
FAM9C	166					
AGR3	166					
CCDC12	166					
ZCCHC13	166					
IMMP1L	166					
LINC00477	166					
FERD3L	166					
TXN2	166					
KRTAP4-4	166					
C12orf65	166					
SDHAF2	166					
MTFP1	166					
CFL2	166					
PPIL1	166					
ANKRD20A5P	165					
FAM86C2P	165					
UBD	165					
PLA2G10	165					
SELENOF	165					
SELENOF	165					
ISG15	165					
ASAH2B	165					
CGB5	165					
CGB8	165					
CGB7	165					
PMCH	165					
GADD45A	165					
RPL12	165					
RPS10	165					
LINC00205	165					
UBE2G2	165					
